raceId,driverId,position,odds
156,56,14,22-14
156,49,15,22-15
156,37,16,22-16
156,4,17,22-17
156,35,18,22-18
156,59,19,22-19
156,50,20,22-20
156,61,21,22-21
156,62,22,22-22
158,57,1,22-1
158,14,2,22-2
158,30,3,22-3
158,22,4,22-4
158,49,5,22-5
158,15,6,22-6
158,56,7,22-7
158,35,8,22-8
158,21,9,22-9
158,63,10,22-10
158,23,11,22-11
158,37,12,22-12
158,50,13,22-13
158,25,14,22-14
158,2,15,22-15
158,41,16,22-16
158,55,17,22-17
158,48,18,22-18
158,64,19,22-19
158,65,20,22-20
158,18,21,22-21
158,60,22,22-22
160,57,1,22-1
160,30,2,22-2
160,14,3,22-3
160,22,4,22-4
160,23,5,22-5
160,49,6,22-6
160,56,7,22-7
160,15,8,22-8
160,35,9,22-9
160,64,10,22-10
160,25,11,22-11
160,63,12,22-12
160,37,13,22-13
160,41,14,22-14
160,55,15,22-15
160,50,16,22-16
160,65,17,22-17
160,18,18,22-18
160,21,19,22-19
160,60,20,22-20
160,48,21,22-21
160,2,22,22-22
161,22,1,22-1
161,49,2,22-2
161,57,3,22-3
161,14,4,22-4
161,30,5,22-5
161,18,6,22-6
161,23,7,22-7
161,50,8,22-8
161,56,9,22-9
161,35,10,22-10
161,15,11,22-11
161,21,12,22-12
161,64,13,22-13
161,65,14,22-14
161,55,15,22-15
161,41,16,22-16
161,2,17,22-17
161,63,18,22-18
161,37,19,22-19
161,25,20,22-20
161,48,21,22-21
161,60,22,22-22
173,30,1,22-1
173,57,2,22-2
173,14,3,22-3
173,22,4,22-4
173,18,5,22-5
173,23,6,22-6
173,56,7,22-7
173,49,8,22-8
173,35,9,22-9
173,65,10,22-10
173,25,11,22-11
173,21,12,22-12
173,37,13,22-13
173,50,14,22-14
173,15,15,22-15
173,2,16,22-16
173,55,17,22-17
173,41,18,22-18
173,63,19,22-19
173,64,20,22-20
173,48,21,22-21
173,60,22,22-22
175,57,1,22-1
175,14,2,22-2
175,30,3,22-3
175,22,4,22-4
175,49,5,22-5
175,56,6,22-6
175,21,7,22-7
175,23,8,22-8
175,71,9,22-9
175,25,10,22-10
175,35,11,22-11
175,15,12,22-12
175,65,13,22-13
175,64,14,22-14
175,70,15,22-15
175,55,16,22-16
175,68,17,22-17
175,37,18,22-18
175,41,19,22-19
175,44,20,22-20
175,69,21,22-21
175,48,22,22-22
176,57,1,21-1
176,14,2,21-2
176,22,3,21-3
176,30,4,21-4
176,21,5,21-5
176,56,6,21-6
176,71,7,21-7
176,49,8,21-8
176,25,9,21-9
176,65,10,21-10
176,23,11,21-11
176,44,12,21-12
176,15,13,21-13
176,55,14,21-14
176,64,15,21-15
176,70,16,21-16
176,72,17,21-17
176,37,18,21-18
176,68,19,21-19
176,48,20,21-20
176,35,21,21-21
177,57,1,22-1
177,14,2,22-2
177,30,3,22-3
177,56,4,22-4
177,35,5,22-5
177,22,6,22-6
177,49,7,22-7
177,71,8,22-8
177,23,9,22-9
177,70,10,22-10
177,44,11,22-11
177,65,12,22-12
177,55,13,22-13
177,15,14,22-14
177,64,15,22-15
177,21,16,22-16
177,25,17,22-17
177,37,18,22-18
177,63,19,22-19
177,68,20,22-20
177,48,21,22-21
177,69,22,22-22
191,57,1,22-1
191,14,2,22-2
191,30,3,22-3
191,35,4,22-4
191,65,5,22-5
191,49,6,22-6
191,21,7,22-7
191,56,8,22-8
191,23,9,22-9
191,71,10,22-10
191,25,11,22-11
191,55,12,22-12
191,68,13,22-13
191,22,14,22-14
191,15,15,22-15
191,63,16,22-16
191,74,17,22-17
191,76,18,22-18
191,73,19,22-19
191,64,20,22-20
191,44,21,22-21
191,75,22,22-22
192,57,1,22-1
192,14,2,22-2
192,49,3,22-3
192,30,4,22-4
192,25,5,22-5
192,56,6,22-6
192,21,7,22-7
192,23,8,22-8
192,44,9,22-9
192,35,10,22-10
192,71,11,22-11
192,15,12,22-12
192,22,13,22-13
192,65,14,22-14
192,55,15,22-15
192,76,16,22-16
192,68,17,22-17
192,75,18,22-18
192,74,19,22-19
192,63,20,22-20
192,73,21,22-21
192,64,22,22-22
193,14,1,22-1
193,30,2,22-2
193,57,3,22-3
193,56,4,22-4
193,23,5,22-5
193,49,6,22-6
193,35,7,22-7
193,25,8,22-8
193,71,9,22-9
193,21,10,22-10
193,55,11,22-11
193,65,12,22-12
193,68,13,22-13
193,22,14,22-14
193,44,15,22-15
193,15,16,22-16
193,63,17,22-17
193,64,18,22-18
193,75,19,22-19
193,74,20,22-20
193,73,21,22-21
193,76,22,22-22
199,57,1,22-1
199,30,2,22-2
199,35,3,22-3
199,14,4,22-4
199,56,5,22-5
199,49,6,22-6
199,71,7,22-7
199,55,8,22-8
199,65,9,22-9
199,21,10,22-10
199,25,11,22-11
199,64,12,22-12
199,63,13,22-13
199,15,14,22-14
199,50,15,22-15
199,22,16,22-16
199,68,17,22-17
199,74,18,22-18
199,75,19,22-19
199,73,20,22-20
199,23,21,22-21
199,44,22,22-22
200,21,1,22-1
200,55,2,22-2
200,57,3,22-3
200,30,4,22-4
200,22,5,22-5
200,63,6,22-6
200,49,7,22-7
200,56,8,22-8
200,23,9,22-9
200,44,10,22-10
200,35,11,22-11
200,50,12,22-12
200,64,13,22-13
200,14,14,22-14
200,71,15,22-15
200,15,16,22-16
200,25,17,22-17
200,65,18,22-18
200,74,19,22-19
200,68,20,22-20
